GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,1600000US4850820,4850820,United States - Texas - New Braunfels city,New Braunfels city,57740,23381,44.28,0.40,43.87,1316.1,532.9
0100000US,,United States,1600000US4852356,4852356,United States - Texas - North Richland Hills city,North Richland Hills city,63343,26395,18.22,0.04,18.17,3485.3,1452.3
0100000US,,United States,1600000US4853388,4853388,United States - Texas - Odessa city,Odessa city,99940,39806,42.21,0.26,41.95,2382.1,948.8
0100000US,,United States,1600000US4856000,4856000,United States - Texas - Pasadena city,Pasadena city,149043,53899,44.27,1.51,42.76,3485.4,1260.4
0100000US,,United States,1600000US4856348,4856348,United States - Texas - Pearland city,Pearland city,91252,33169,47.46,0.45,47.02,1940.9,705.5
0100000US,,United States,1600000US4857200,4857200,United States - Texas - Pharr city,Pharr city,70400,22796,23.44,0.03,23.42,3006.3,973.5
0100000US,,United States,1600000US4858016,4858016,United States - Texas - Plano city,Plano city,259841,103672,71.94,0.36,71.58,3630.0,1448.3
0100000US,,United States,1600000US4858820,4858820,United States - Texas - Port Arthur city,Port Arthur city,53818,23577,144.04,67.14,76.90,699.8,306.6
0100000US,,United States,1600000US4861796,4861796,United States - Texas - Richardson city,Richardson city,99223,40630,28.66,0.09,28.56,3473.7,1422.4
0100000US,,United States,1600000US4863500,4863500,United States - Texas - Round Rock city,Round Rock city,99887,37223,34.41,0.30,34.11,2928.1,1091.2
0100000US,,United States,1600000US4863572,4863572,United States - Texas - Rowlett city,Rowlett city,56199,18969,19.96,0.07,19.89,2825.5,953.7
0100000US,,United States,1600000US4864472,4864472,United States - Texas - San Angelo city,San Angelo city,93200,39548,59.14,2.28,56.86,1639.0,695.5
0100000US,,United States,1600000US4865000,4865000,United States - Texas - San Antonio city,San Antonio city,1327407,524246,466.71,5.78,460.93,2879.8,1137.4
0100000US,,United States,1600000US4869596,4869596,United States - Texas - Spring CDP,Spring CDP,54298,19191,23.55,0.36,23.19,2341.3,827.5
0100000US,,United States,1600000US4870808,4870808,United States - Texas - Sugar Land city,Sugar Land city,78817,27727,34.02,1.64,32.38,2434.2,856.3
0100000US,,United States,1600000US4872176,4872176,United States - Texas - Temple city,Temple city,66102,28422,69.42,0.42,69.01,957.9,411.9
0100000US,,United States,1600000US4872656,4872656,United States - Texas - The Woodlands CDP,The Woodlands CDP,93847,37339,43.85,0.58,43.27,2168.8,862.9
0100000US,,United States,1600000US4874144,4874144,United States - Texas - Tyler city,Tyler city,96900(r49495),41742(r25491),54.39,0.53,53.86,1799.2,775.0
0100000US,,United States,1600000US4875428,4875428,United States - Texas - Victoria city,Victoria city,62592,25660,35.63,0.15,35.48,1764.2,723.2
0100000US,,United States,1600000US4876000,4876000,United States - Texas - Waco city,Waco city,124805,51452,101.26,12.30,88.96,1402.9,578.3
0100000US,,United States,1600000US4879000,4879000,United States - Texas - Wichita Falls city,Wichita Falls city,104553,43632,72.16,0.02,72.14,1449.3,604.8
