GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,1600000US0461300,0461300,United States - Arizona - Roosevelt CDP,Roosevelt CDP,$-,$**
0100000US,,United States,1600000US0461690,0461690,United States - Arizona - Rye CDP,Rye CDP,$(X),$(X)
0100000US,,United States,1600000US0461715,0461715,United States - Arizona - Sacate Village CDP,Sacate Village CDP,$(X),$(X)
0100000US,,United States,1600000US0463960,0463960,United States - Arizona - Santa Cruz CDP,Santa Cruz CDP,$-,$**
0100000US,,United States,1600000US0465400,0465400,United States - Arizona - Sehili CDP,Sehili CDP,$(X),$(X)
0100000US,,United States,1600000US0465420,0465420,United States - Arizona - Seligman CDP,Seligman CDP,$(X),$(X)
0100000US,,United States,1600000US0470175,0470175,United States - Arizona - Summerhaven CDP,Summerhaven CDP,$-,$**
0100000US,,United States,1600000US0471220,0471220,United States - Arizona - Sunwest CDP,Sunwest CDP,$-,$**
0100000US,,United States,1600000US0471230,0471230,United States - Arizona - Supai CDP,Supai CDP,$-,$**
0100000US,,United States,1600000US0472280,0472280,United States - Arizona - Tat Momoli CDP,Tat Momoli CDP,$-,$**
0100000US,,United States,1600000US0474540,0474540,United States - Arizona - Tonopah CDP,Tonopah CDP,$-,$**
0100000US,,United States,1600000US0474750,0474750,United States - Arizona - Topock CDP,Topock CDP,$-,$**
0100000US,,United States,1600000US0475310,0475310,United States - Arizona - Toyei CDP,Toyei CDP,$-,$**
0100000US,,United States,1600000US0478300,0478300,United States - Arizona - Upper Santan Village CDP,Upper Santan Village CDP,$(X),$(X)
0100000US,,United States,1600000US0478680,0478680,United States - Arizona - Vaiva Vo CDP,Vaiva Vo CDP,$-,$**
0100000US,,United States,1600000US0478820,0478820,United States - Arizona - Valentine CDP,Valentine CDP,$(X),$(X)
0100000US,,United States,1600000US0479590,0479590,United States - Arizona - Ventana CDP,Ventana CDP,"$2,500-",$***
0100000US,,United States,1600000US0479870,0479870,United States - Arizona - Vernon CDP,Vernon CDP,$-,$**
0100000US,,United States,1600000US0480430,0480430,United States - Arizona - Wahak Hotrontk CDP,Wahak Hotrontk CDP,$(X),$(X)
0100000US,,United States,1600000US0482670,0482670,United States - Arizona - Why CDP,Why CDP,$(X),$(X)
0100000US,,United States,1600000US0482810,0482810,United States - Arizona - Wide Ruins CDP,Wide Ruins CDP,$-,$**
0100000US,,United States,1600000US0483475,0483475,United States - Arizona - Willow Canyon CDP,Willow Canyon CDP,$-,$**
0100000US,,United States,1600000US0484140,0484140,United States - Arizona - Wittmann CDP,Wittmann CDP,$(X),$(X)
0100000US,,United States,1600000US0484350,0484350,United States - Arizona - Woodruff CDP,Woodruff CDP,$-,$**
0100000US,,United States,1600000US0500250,0500250,United States - Arkansas - Adona city,Adona city,$(X),$(X)
0100000US,,United States,1600000US0502680,0502680,United States - Arkansas - Aubrey town,Aubrey town,$(X),$(X)
0100000US,,United States,1600000US0505980,0505980,United States - Arkansas - Big Flat town,Big Flat town,$(X),$(X)
0100000US,,United States,1600000US0507150,0507150,United States - Arkansas - Blue Eye town,Blue Eye town,$(X),$(X)
0100000US,,United States,1600000US0507210,0507210,United States - Arkansas - Blue Mountain town,Blue Mountain town,$(X),$(X)
0100000US,,United States,1600000US0513420,0513420,United States - Arkansas - Cherokee City CDP,Cherokee City CDP,$-,$**
0100000US,,United States,1600000US0515790,0515790,United States - Arkansas - Coy town,Coy town,$(X),$(X)
0100000US,,United States,1600000US0518010,0518010,United States - Arkansas - Delaplaine town,Delaplaine town,$(X),$(X)
0100000US,,United States,1600000US0526800,0526800,United States - Arkansas - Gilbert town,Gilbert town,$(X),$(X)
0100000US,,United States,1600000US0529320,0529320,United States - Arkansas - Hagarville CDP,Hagarville CDP,$(X),$(X)
0100000US,,United States,1600000US0531390,0531390,United States - Arkansas - Hensley CDP,Hensley CDP,$(X),$(X)
0100000US,,United States,1600000US0535170,0535170,United States - Arkansas - Jerome town,Jerome town,$(X),$(X)
0100000US,,United States,1600000US0544150,0544150,United States - Arkansas - Marie town,Marie town,$(X),$(X)
0100000US,,United States,1600000US0544810,0544810,United States - Arkansas - Maysville CDP,Maysville CDP,$-,$**
0100000US,,United States,1600000US0545500,0545500,United States - Arkansas - Midland town,Midland town,$(X),$(X)
0100000US,,United States,1600000US0549220,0549220,United States - Arkansas - New Edinburg CDP,New Edinburg CDP,$(X),$(X)
0100000US,,United States,1600000US0551560,0551560,United States - Arkansas - Ola city,Ola city,$(X),$(X)
0100000US,,United States,1600000US0558400,0558400,United States - Arkansas - Reader CDP,Reader CDP,$-,$**
0100000US,,United States,1600000US0561730,0561730,United States - Arkansas - Rye CDP,Rye CDP,$(X),$(X)
0100000US,,United States,1600000US0562900,0562900,United States - Arkansas - Scott CDP,Scott CDP,$-,$**
0100000US,,United States,1600000US0569350,0569350,United States - Arkansas - Tinsman town,Tinsman town,$(X),$(X)
0100000US,,United States,1600000US0571900,0571900,United States - Arkansas - Victoria town,Victoria town,$(X),$(X)
0100000US,,United States,1600000US0572320,0572320,United States - Arkansas - Waldenburg town,Waldenburg town,$(X),$(X)
0100000US,,United States,1600000US0575740,0575740,United States - Arkansas - Williford town,Williford town,$(X),$(X)
0100000US,,United States,1600000US0576690,0576690,United States - Arkansas - Woodlawn CDP,Woodlawn CDP,$(X),$(X)
0100000US,,United States,1600000US0600310,0600310,United States - California - Adin CDP,Adin CDP,$(X),$(X)
0100000US,,United States,1600000US0600716,0600716,United States - California - Albion CDP,Albion CDP,$(X),$(X)
0100000US,,United States,1600000US0600982,0600982,United States - California - Alleghany CDP,Alleghany CDP,$-,$**
0100000US,,United States,1600000US0601094,0601094,United States - California - Almanor CDP,Almanor CDP,$-,$**
0100000US,,United States,1600000US0603026,0603026,United States - California - Aspen Springs CDP,Aspen Springs CDP,$-,$**
0100000US,,United States,1600000US0603092,0603092,United States - California - Atherton town,Atherton town,"$250,000+",$***
0100000US,,United States,1600000US0604632,0604632,United States - California - Bear Creek CDP,Bear Creek CDP,$(X),$(X)
0100000US,,United States,1600000US0604716,0604716,United States - California - Bear Valley CDP (Alpine County),Bear Valley CDP (Alpine County),$(X),$(X)
